Region,Country,ISP,Technology,Product name,Up to?,Downstream bandwidth,Downstream units,Downstream (Mbps),Upstream bandwidth,Upstream units,Usage cap,Cap units,Tariff currency,Connection charge (local currency),Modem cost (local currency),Monthly cost (local currency),Contract term (months),Must also take landline?,Voice mins included?,VAT included?,VAT Rate,Standard Xrate,Monthly cost (US$),PPP Xrate,Monthly cost (US$ PPP),Date tariff recorded,Notes,Source URL
North America,Dominican Rep.,Tricom [Dominican Rep.],Various,Internet Plan,,30,Mbps,30,1,Mbps,,,DOP,"5,000.00",,"13,450.00",,,,No,,38.88,345.94,21.36684732,629.48,2012Q3,,http://translate.google.com/translate?hl=en&sl=es&u=http://www.tricom.net/&prev=/search%3Fq%3Dtricom%2Bdominicana%26hl%3Den%26rls%3Dcom.microsoft:en-us:IE-SearchBox%26prmd%3Dimvnsl&sa=X&ei=XdUQUMuiK4fqrQfM14CIDw&ved=0CGYQ7gEwAA
North America,Dominican Rep.,Tricom [Dominican Rep.],Various,Internet Plan,,50,Mbps,50,2,Mbps,,,DOP,"5,000.00",,"18,995.00",,,,No,,38.88,488.55,21.36684732,888.99,2012Q3,,http://translate.google.com/translate?hl=en&sl=es&u=http://www.tricom.net/&prev=/search%3Fq%3Dtricom%2Bdominicana%26hl%3Den%26rls%3Dcom.microsoft:en-us:IE-SearchBox%26prmd%3Dimvnsl&sa=X&ei=XdUQUMuiK4fqrQfM14CIDw&ved=0CGYQ7gEwAA
North America,Dominican Rep.,Tricom [Dominican Rep.],Various,Internet Plan,,100,Mbps,100,5,Mbps,,,DOP,"5,000.00",,"28,500.00",,,,No,,38.88,733.02,21.36684732,"1,333.84",2012Q3,,http://translate.google.com/translate?hl=en&sl=es&u=http://www.tricom.net/&prev=/search%3Fq%3Dtricom%2Bdominicana%26hl%3Den%26rls%3Dcom.microsoft:en-us:IE-SearchBox%26prmd%3Dimvnsl&sa=X&ei=XdUQUMuiK4fqrQfM14CIDw&ved=0CGYQ7gEwAA
South America,Ecuador,Ecuadortelecom (Claro) [Ecuador],,Broad Band 1.6 Mb,,1600,Kbps,1.6,512,Kbps,,,USD,,,19.90,,,,No,12%,1,19.90,1,19.90,2012Q3,,http://translate.google.com/translate?hl=en&sl=es&u=http://www.claro.com.ec/&prev=/search%3Fq%3Decuadortelecom%26hl%3Den%26rls%3Dcom.microsoft:en-us:IE-SearchBox%26biw%3D1280%26bih%3D827%26prmd%3Dimvns&sa=X&ei=pVoJUID9NsS3rAfC543ICA&sqi=2&ved=0CFUQ7gEwAQ
South America,Ecuador,Ecuadortelecom (Claro) [Ecuador],,Broad Band 2.2 Mb,,2240,Kbps,2.24,800,Kbps,,,USD,,,24.90,,,,No,12%,1,24.90,1,24.90,2012Q3,,http://translate.google.com/translate?hl=en&sl=es&u=http://www.claro.com.ec/&prev=/search%3Fq%3Decuadortelecom%26hl%3Den%26rls%3Dcom.microsoft:en-us:IE-SearchBox%26biw%3D1280%26bih%3D827%26prmd%3Dimvns&sa=X&ei=pVoJUID9NsS3rAfC543ICA&sqi=2&ved=0CFUQ7gEwAQ
South America,Ecuador,Ecuadortelecom (Claro) [Ecuador],,Broad Band 3 Mb,,3072,Kbps,3.072,800,Kbps,,,USD,,,29.90,,,,No,12%,1,29.90,1,29.90,2012Q3,,http://translate.google.com/translate?hl=en&sl=es&u=http://www.claro.com.ec/&prev=/search%3Fq%3Decuadortelecom%26hl%3Den%26rls%3Dcom.microsoft:en-us:IE-SearchBox%26biw%3D1280%26bih%3D827%26prmd%3Dimvns&sa=X&ei=pVoJUID9NsS3rAfC543ICA&sqi=2&ved=0CFUQ7gEwAQ
South America,Ecuador,Ecuadortelecom (Claro) [Ecuador],,Broad Band 6 Mb,,6016,Kbps,6.016,1024,Kbps,,,USD,,,49.90,,,,No,12%,1,49.90,1,49.90,2012Q3,,http://translate.google.com/translate?hl=en&sl=es&u=http://www.claro.com.ec/&prev=/search%3Fq%3Decuadortelecom%26hl%3Den%26rls%3Dcom.microsoft:en-us:IE-SearchBox%26biw%3D1280%26bih%3D827%26prmd%3Dimvns&sa=X&ei=pVoJUID9NsS3rAfC543ICA&sqi=2&ved=0CFUQ7gEwAQ
South America,Ecuador,Ecuadortelecom (Claro) [Ecuador],,Broad Band 8 Mb,,8192,Kbps,8.192,1024,Kbps,,,USD,,,65.00,,,,No,12%,1,65.00,1,65.00,2012Q3,,http://translate.google.com/translate?hl=en&sl=es&u=http://www.claro.com.ec/&prev=/search%3Fq%3Decuadortelecom%26hl%3Den%26rls%3Dcom.microsoft:en-us:IE-SearchBox%26biw%3D1280%26bih%3D827%26prmd%3Dimvns&sa=X&ei=pVoJUID9NsS3rAfC543ICA&sqi=2&ved=0CFUQ7gEwAQ
South America,Ecuador,Ecuadortelecom (Claro) [Ecuador],,Broad Band 15 Megabytes,,15040,Kbps,15.04,2048,Kbps,,,USD,,,110.00,,,,No,12%,1,110.00,1,110.00,2012Q3,,http://translate.google.com/translate?hl=en&sl=es&u=http://www.claro.com.ec/&prev=/search%3Fq%3Decuadortelecom%26hl%3Den%26rls%3Dcom.microsoft:en-us:IE-SearchBox%26biw%3D1280%26bih%3D827%26prmd%3Dimvns&sa=X&ei=pVoJUID9NsS3rAfC543ICA&sqi=2&ved=0CFUQ7gEwAQ
South America,Ecuador,Fast Boy [Ecuador],ADSL,Fast Boy Internet,,1000,Kbps,1,250,Kbps,,,USD,50.00,0,18.00,12,,,No,12%,1,18.00,1,18.00,2012Q3,,http://translate.googleusercontent.com/translate_c?hl=en&prev=/search%3Fq%3Dfastboy%2Becuador%26hl%3Den%26sa%3DX%26rls%3Dcom.microsoft:en-us:IE-SearchBox%26biw%3D1280%26bih%3D827%26prmd%3Dimvns&rurl=translate.google.com&sl=es&u=http://www.cnt.com.ec/index.php%3Foption%3Dcom_content%26view%3Darticle%26id%3D80:fastboy%26catid%3D26:prodinte%3FItemid%3D21&usg=ALkJrhjE3XoLyQcmLc4RkYGv2zVX0MHKXQ
South America,Ecuador,Fast Boy [Ecuador],ADSL,Fast Boy Internet,,1500,Kbps,1.5,250,Kbps,,,USD,50.00,0,24.90,12,,,No,12%,1,24.90,1,24.90,2012Q3,,http://translate.googleusercontent.com/translate_c?hl=en&prev=/search%3Fq%3Dfastboy%2Becuador%26hl%3Den%26sa%3DX%26rls%3Dcom.microsoft:en-us:IE-SearchBox%26biw%3D1280%26bih%3D827%26prmd%3Dimvns&rurl=translate.google.com&sl=es&u=http://www.cnt.com.ec/index.php%3Foption%3Dcom_content%26view%3Darticle%26id%3D80:fastboy%26catid%3D26:prodinte%3FItemid%3D21&usg=ALkJrhjE3XoLyQcmLc4RkYGv2zVX0MHKXQ
South America,Ecuador,Fast Boy [Ecuador],ADSL,Fast Boy Internet,,2000,Kbps,2,500,Kbps,,,USD,50.00,0,39.90,12,,,No,12%,1,39.90,1,39.90,2012Q3,,http://translate.googleusercontent.com/translate_c?hl=en&prev=/search%3Fq%3Dfastboy%2Becuador%26hl%3Den%26sa%3DX%26rls%3Dcom.microsoft:en-us:IE-SearchBox%26biw%3D1280%26bih%3D827%26prmd%3Dimvns&rurl=translate.google.com&sl=es&u=http://www.cnt.com.ec/index.php%3Foption%3Dcom_content%26view%3Darticle%26id%3D80:fastboy%26catid%3D26:prodinte%3FItemid%3D21&usg=ALkJrhjE3XoLyQcmLc4RkYGv2zVX0MHKXQ
South America,Ecuador,Fast Boy [Ecuador],ADSL,Fast Boy Internet,,3000,Kbps,3,500,Kbps,,,USD,50.00,0,49.90,12,,,No,12%,1,49.90,1,49.90,2012Q3,,http://translate.googleusercontent.com/translate_c?hl=en&prev=/search%3Fq%3Dfastboy%2Becuador%26hl%3Den%26sa%3DX%26rls%3Dcom.microsoft:en-us:IE-SearchBox%26biw%3D1280%26bih%3D827%26prmd%3Dimvns&rurl=translate.google.com&sl=es&u=http://www.cnt.com.ec/index.php%3Foption%3Dcom_content%26view%3Darticle%26id%3D80:fastboy%26catid%3D26:prodinte%3FItemid%3D21&usg=ALkJrhjE3XoLyQcmLc4RkYGv2zVX0MHKXQ
South America,Ecuador,Fast Boy [Ecuador],ADSL,Fast Boy Internet,,5000,Kbps,5,500,Kbps,,,USD,50.00,0,84.90,12,,,No,12%,1,84.90,1,84.90,2012Q3,,http://translate.googleusercontent.com/translate_c?hl=en&prev=/search%3Fq%3Dfastboy%2Becuador%26hl%3Den%26sa%3DX%26rls%3Dcom.microsoft:en-us:IE-SearchBox%26biw%3D1280%26bih%3D827%26prmd%3Dimvns&rurl=translate.google.com&sl=es&u=http://www.cnt.com.ec/index.php%3Foption%3Dcom_content%26view%3Darticle%26id%3D80:fastboy%26catid%3D26:prodinte%3FItemid%3D21&usg=ALkJrhjE3XoLyQcmLc4RkYGv2zVX0MHKXQ
South America,Ecuador,Fast Boy [Ecuador],ADSL,Fast Boy Internet,,9000,Kbps,9,700,Kbps,,,USD,50.00,0,145.00,12,,,No,12%,1,145.00,1,145.00,2012Q3,,http://translate.googleusercontent.com/translate_c?hl=en&prev=/search%3Fq%3Dfastboy%2Becuador%26hl%3Den%26sa%3DX%26rls%3Dcom.microsoft:en-us:IE-SearchBox%26biw%3D1280%26bih%3D827%26prmd%3Dimvns&rurl=translate.google.com&sl=es&u=http://www.cnt.com.ec/index.php%3Foption%3Dcom_content%26view%3Darticle%26id%3D80:fastboy%26catid%3D26:prodinte%3FItemid%3D21&usg=ALkJrhjE3XoLyQcmLc4RkYGv2zVX0MHKXQ
South America,Ecuador,TVCable [Ecuador],Cable,Int 1.7,,1.7,Mbps,1.7,,,,,USD,,0,19.90,12,,,?,,1,19.90,1,19.90,2012Q3,Technology is not given,http://www.grupotvcable.com.ec/cablemodem
South America,Ecuador,TVCable [Ecuador],Cable,Int 3.1,,3.1,Mbps,3.1,,,,,USD,,0,29.90,12,,,?,,1,29.90,1,29.90,2012Q3,Technology is not given,http://www.grupotvcable.com.ec/cablemodem
South America,Ecuador,TVCable [Ecuador],Cable,Int 4.0,,4.5,Mbps,4.5,,,,,USD,,0,39.90,12,,,?,,1,39.90,1,39.90,2012Q3,Technology is not given,http://www.grupotvcable.com.ec/cablemodem
South America,Ecuador,TVCable [Ecuador],Cable,Int 6.1,,6.1,Mbps,6.1,,,,,USD,,0,49.90,12,,,?,,1,49.90,1,49.90,2012Q3,Technology is not given,http://www.grupotvcable.com.ec/cablemodem
South America,Ecuador,TVCable [Ecuador],Cable,Int 10.3,,10.3,Mbps,10.3,,,,,USD,,0,99.90,12,,,?,,1,99.90,1,99.90,2012Q3,Technology is not given,http://www.grupotvcable.com.ec/cablemodem
South America,Ecuador,TVCable [Ecuador],Cable,Int 6.1,,16,Mbps,16,,,,,USD,,0,114.90,12,,,?,,1,114.90,1,114.90,2012Q3,Technology is not given,http://www.grupotvcable.com.ec/cablemodem
Africa,Egypt,Etisalat [Egypt],ADSL,512,,512,Kbps,0.512,,,4,GB,EGP,75.00,199,65.00,6,,,?,,6.04,10.76,2.61682659,24.84,2012Q3,,http://etisalat.com.eg/etisalat/Etisalat_Portal_Ar/smartnet_ar/smartadsl_ar.htm
Africa,Egypt,Etisalat [Egypt],ADSL,1,,1,Mbps,1,,,8,GB,EGP,75.00,199,85.00,6,,,?,,6.04,14.07,2.61682659,32.48,2012Q3,,http://etisalat.com.eg/etisalat/Etisalat_Portal_Ar/smartnet_ar/smartadsl_ar.htm
Africa,Egypt,Etisalat [Egypt],ADSL,Max,,4,Mbps,4,,,20,GB,EGP,75.00,199,149.00,6,,,?,,6.04,24.67,2.61682659,56.94,2012Q3,,http://etisalat.com.eg/etisalat/Etisalat_Portal_Ar/smartnet_ar/smartadsl_ar.htm
Africa,Egypt,LINKdotNET [Egypt],ADSL,Unlmited Packages,,512,Kbps,0.512,128,Kbps,25,GB,EGP,,,95.00,,,,?,,6.04,15.73,2.61682659,36.30,2012Q3,,http://translate.google.com/translate?sl=auto&tl=en&js=n&prev=_t&hl=en&ie=UTF-8&layout=2&eotf=1&u=http%3A%2F%2Fwww.linkdsl.com%2FLinkdsl_Code%2FPages%2FDslAvailabilty%2FServiceSubscription.aspx
Africa,Egypt,LINKdotNET [Egypt],ADSL,Unlmited Packages,,1024,Kbps,1.024,256,Kbps,40,GB,EGP,,,145.00,,,,?,,6.04,24.01,2.61682659,55.41,2012Q3,,http://translate.google.com/translate?sl=auto&tl=en&js=n&prev=_t&hl=en&ie=UTF-8&layout=2&eotf=1&u=http%3A%2F%2Fwww.linkdsl.com%2FLinkdsl_Code%2FPages%2FDslAvailabilty%2FServiceSubscription.aspx
Africa,Egypt,LINKdotNET [Egypt],ADSL,Unlmited Packages,,2048,Kbps,2.048,512,Kbps,60,GB,EGP,,,230.00,,,,?,,6.04,38.08,2.61682659,87.89,2012Q3,,http://translate.google.com/translate?sl=auto&tl=en&js=n&prev=_t&hl=en&ie=UTF-8&layout=2&eotf=1&u=http%3A%2F%2Fwww.linkdsl.com%2FLinkdsl_Code%2FPages%2FDslAvailabilty%2FServiceSubscription.aspx
Africa,Egypt,LINKdotNET [Egypt],ADSL,Unlmited Packages,,4096,Kbps,4.096,1024,Kbps,80,GB,EGP,,,380.00,,,,?,,6.04,62.91,2.61682659,145.21,2012Q3,,http://translate.google.com/translate?sl=auto&tl=en&js=n&prev=_t&hl=en&ie=UTF-8&layout=2&eotf=1&u=http%3A%2F%2Fwww.linkdsl.com%2FLinkdsl_Code%2FPages%2FDslAvailabilty%2FServiceSubscription.aspx
Africa,Egypt,LINKdotNET [Egypt],ADSL,Load Capacity Limited,,256,Kbps,0.256,64,Kbps,2,GB,EGP,,,45.00,,,,?,,6.04,7.45,2.61682659,17.20,2012Q3,,http://translate.google.com/translate?sl=auto&tl=en&js=n&prev=_t&hl=en&ie=UTF-8&layout=2&eotf=1&u=http%3A%2F%2Fwww.linkdsl.com%2FLinkdsl_Code%2FPages%2FDslAvailabilty%2FServiceSubscription.aspx
Africa,Egypt,LINKdotNET [Egypt],ADSL,Load Capacity Limited,,512,Kbps,0.512,128,Kbps,5,GB,EGP,,,85.00,,,,?,,6.04,14.07,2.61682659,32.48,2012Q3,,http://translate.google.com/translate?sl=auto&tl=en&js=n&prev=_t&hl=en&ie=UTF-8&layout=2&eotf=1&u=http%3A%2F%2Fwww.linkdsl.com%2FLinkdsl_Code%2FPages%2FDslAvailabilty%2FServiceSubscription.aspx
Africa,Egypt,LINKdotNET [Egypt],ADSL,Load Capacity Limited,,1024,Kbps,1.024,256,Kbps,7,GB,EGP,,,120.00,,,,?,,6.04,19.87,2.61682659,45.86,2012Q3,,http://translate.google.com/translate?sl=auto&tl=en&js=n&prev=_t&hl=en&ie=UTF-8&layout=2&eotf=1&u=http%3A%2F%2Fwww.linkdsl.com%2FLinkdsl_Code%2FPages%2FDslAvailabilty%2FServiceSubscription.aspx
Africa,Egypt,LINKdotNET [Egypt],ADSL,Load Capacity Limited,,2048,Kbps,2.048,512,Kbps,13,GB,EGP,,,180.00,,,,?,,6.04,29.80,2.61682659,68.79,2012Q3,,http://translate.google.com/translate?sl=auto&tl=en&js=n&prev=_t&hl=en&ie=UTF-8&layout=2&eotf=1&u=http%3A%2F%2Fwww.linkdsl.com%2FLinkdsl_Code%2FPages%2FDslAvailabilty%2FServiceSubscription.aspx
Africa,Egypt,LINKdotNET [Egypt],ADSL,Link's DSL Plus,,8,Mbps,8,1,Mbps,100,GB,EGP,,,555.00,,,,?,,6.04,91.89,2.61682659,212.09,2012Q3,Apart from paying monthly if the customer pays 12 months in advance the monthly cost would be EGP516 or if the customer pays three months in advance the monthly cost would be EGP544,http://translate.google.com/translate?sl=auto&tl=en&js=n&prev=_t&hl=en&ie=UTF-8&layout=2&eotf=1&u=http%3A%2F%2Fwww.linkdsl.com%2FLinkdsl_Code%2FPages%2FDslAvailabilty%2FServiceSubscription.aspx
Africa,Egypt,LINKdotNET [Egypt],ADSL,Link's DSL Plus,,12,Mbps,12,1,Mbps,120,GB,EGP,,,777.00,,,,?,,6.04,128.64,2.61682659,296.92,2012Q3,Apart from paying monthly if the customer pays 12 months in advance the monthly cost would be EGP723 or if the customer pays three months in advance the monthly cost would be EGP762,http://translate.google.com/translate?sl=auto&tl=en&js=n&prev=_t&hl=en&ie=UTF-8&layout=2&eotf=1&u=http%3A%2F%2Fwww.linkdsl.com%2FLinkdsl_Code%2FPages%2FDslAvailabilty%2FServiceSubscription.aspx
Africa,Egypt,LINKdotNET [Egypt],ADSL,Link's DSL Plus,,16,Mbps,16,1,Mbps,140,GB,EGP,,,999.00,,,,?,,6.04,165.40,2.61682659,381.76,2012Q3,Apart from paying monthly if the customer pays 12 months in advance the monthly cost would be EGP929 or if the customer pays three months in advance the monthly cost would be EGP979,http://translate.google.com/translate?sl=auto&tl=en&js=n&prev=_t&hl=en&ie=UTF-8&layout=2&eotf=1&u=http%3A%2F%2Fwww.linkdsl.com%2FLinkdsl_Code%2FPages%2FDslAvailabilty%2FServiceSubscription.aspx
Africa,Egypt,LINKdotNET [Egypt],ADSL,Link's DSL Plus,,20,Mbps,20,1,Mbps,160,GB,EGP,,,"1,111.00",,,,?,,6.04,183.94,2.61682659,424.56,2012Q3,Apart from paying monthly if the customer pays 12 months in advance the monthly cost would be EGP1033 or if the customer pays three months in advance the monthly cost would be EGP1089,http://translate.google.com/translate?sl=auto&tl=en&js=n&prev=_t&hl=en&ie=UTF-8&layout=2&eotf=1&u=http%3A%2F%2Fwww.linkdsl.com%2FLinkdsl_Code%2FPages%2FDslAvailabilty%2FServiceSubscription.aspx
Africa,Egypt,LINKdotNET [Egypt],ADSL,Link's DSL Plus,,24,Mbps,24,1,Mbps,180,GB,EGP,,,"1,333.00",,,,?,,6.04,220.70,2.61682659,509.40,2012Q3,Apart from paying monthly if the customer pays 12 months in advance the monthly cost would be EGP1240 or if the customer pays three months in advance the monthly cost would be EGP1306,http://translate.google.com/translate?sl=auto&tl=en&js=n&prev=_t&hl=en&ie=UTF-8&layout=2&eotf=1&u=http%3A%2F%2Fwww.linkdsl.com%2FLinkdsl_Code%2FPages%2FDslAvailabilty%2FServiceSubscription.aspx
Africa,Egypt,LINKdotNET [Egypt],ADSL,Link's DSL Plus,,30,Mbps,30,1,Mbps,200,GB,EGP,,,"1,555.00",,,,?,,6.04,257.45,2.61682659,594.23,2012Q3,Apart from paying monthly if the customer pays 12 months in advance the monthly cost would be EGP1446 or if the customer pays three months in advance the monthly cost would be EGP1524,http://translate.google.com/translate?sl=auto&tl=en&js=n&prev=_t&hl=en&ie=UTF-8&layout=2&eotf=1&u=http%3A%2F%2Fwww.linkdsl.com%2FLinkdsl_Code%2FPages%2FDslAvailabilty%2FServiceSubscription.aspx
Africa,Egypt,LINKdotNET [Egypt],ADSL,Link's DSL Plus,,40,Mbps,40,1,Mbps,240,GB,EGP,,,"1,777.00",,,,?,,6.04,294.21,2.61682659,679.07,2012Q3,Apart from paying monthly if the customer pays 12 months in advance the monthly cost would be EGP1653 or if the customer pays three months in advance the monthly cost would be EGP1741,http://translate.google.com/translate?sl=auto&tl=en&js=n&prev=_t&hl=en&ie=UTF-8&layout=2&eotf=1&u=http%3A%2F%2Fwww.linkdsl.com%2FLinkdsl_Code%2FPages%2FDslAvailabilty%2FServiceSubscription.aspx
Africa,Egypt,LINKdotNET [Egypt],ADSL,Link's DSL Plus,,48,Mbps,48,1,Mbps,250,GB,EGP,,,"1,999.00",,,,?,,6.04,330.96,2.61682659,763.90,2012Q3,Apart from paying monthly if the customer pays 12 months in advance the monthly cost would be EGP1859 or if the customer pays three months in advance the monthly cost would be EGP1959,http://translate.google.com/translate?sl=auto&tl=en&js=n&prev=_t&hl=en&ie=UTF-8&layout=2&eotf=1&u=http%3A%2F%2Fwww.linkdsl.com%2FLinkdsl_Code%2FPages%2FDslAvailabilty%2FServiceSubscription.aspx
North America,El Salvador,Claro (El Salvador) [El Salvador],ADSL,Only Turbonett,,512,Kbps,0.512,,,,,USD,,,18.00,,,,No,,1,18.00,1,18.00,2012Q3,Installation at half price,http://translate.google.com/translate?hl=en&sl=es&u=http://www.claro.com.sv/&prev=/search%3Fq%3Dclaro%2Bel%2Bsalvador%26hl%3Den%26rls%3Dcom.microsoft:en-us:IE-SearchBox%26prmd%3Dimvns&sa=X&ei=zmkJUMuQMozLrQeI4qzJCA&ved=0CF0Q7gEwAA
North America,El Salvador,Claro (El Salvador) [El Salvador],ADSL,Only Turbonett,,1,Mbps,1,,,,,USD,,,22.00,,,,No,,1,22.00,1,22.00,2012Q3,Installation at half price,http://translate.google.com/translate?hl=en&sl=es&u=http://www.claro.com.sv/&prev=/search%3Fq%3Dclaro%2Bel%2Bsalvador%26hl%3Den%26rls%3Dcom.microsoft:en-us:IE-SearchBox%26prmd%3Dimvns&sa=X&ei=zmkJUMuQMozLrQeI4qzJCA&ved=0CF0Q7gEwAA
North America,El Salvador,Claro (El Salvador) [El Salvador],ADSL,Only Turbonett,,3,Mbps,3,,,,,USD,,,35.00,,,,No,,1,35.00,1,35.00,2012Q3,Installation at half price,http://translate.google.com/translate?hl=en&sl=es&u=http://www.claro.com.sv/&prev=/search%3Fq%3Dclaro%2Bel%2Bsalvador%26hl%3Den%26rls%3Dcom.microsoft:en-us:IE-SearchBox%26prmd%3Dimvns&sa=X&ei=zmkJUMuQMozLrQeI4qzJCA&ved=0CF0Q7gEwAA
Europe,Finland,Elisa [Finland],ADSL,Full rate 10/1,,10,Mbps,10,1,Mbps,,,EUR,78.00,,23.90,,,,?,,0.81,29.51,0.798103672,29.95,2012Q3,,http://saunalahti.fi/internet/adsl/adslhinnat.php
Europe,Finland,Elisa [Finland],ADSL,Full rate 20/1,,20,Mbps,20,1,Mbps,,,EUR,78.00,,29.90,,,,?,,0.81,36.91,0.798103672,37.46,2012Q3,,http://saunalahti.fi/internet/adsl/adslhinnat.php
Europe,Finland,Elisa [Finland],Cable,2/2,,2,Mbps,2,2,Mbps,,,EUR,49.00,,23.90,,,,?,,0.81,29.51,0.798103672,29.95,2012Q3,,http://saunalahti.fi/internet/kaapelimodeemi/hinnat.php
Europe,Finland,Elisa [Finland],Cable,10/2,,10,Mbps,10,2,Mbps,,,EUR,49.00,,29.90,,,,?,,0.81,36.91,0.798103672,37.46,2012Q3,,http://saunalahti.fi/internet/kaapelimodeemi/hinnat.php
Europe,Finland,Elisa [Finland],Cable,30/2,,30,Mbps,30,2,Mbps,,,EUR,49.00,,37.90,,,,?,,0.81,46.79,0.798103672,47.49,2012Q3,,http://saunalahti.fi/internet/kaapelimodeemi/hinnat.php
Europe,Finland,Elisa [Finland],Cable,100/5,,100,Mbps,100,5,Mbps,,,EUR,49.00,,44.90,,,,?,,0.81,55.43,0.798103672,56.26,2012Q3,,http://saunalahti.fi/internet/kaapelimodeemi/hinnat.php
Europe,Finland,Sonera [Finland],Fibre,Sonera Broadband,,10,Mbps,10,,,,,EUR,0.00,0,29.90,24,,,?,,0.81,36.91,0.798103672,37.46,2012Q3,The monthly charge will be EUR19.90 in the first three months,http://translate.google.com/translate?hl=en&sl=fi&u=http://www.sonera.fi/&prev=/search%3Fq%3DSonera%2Bfinland%26hl%3Den%26rls%3Dcom.microsoft:en-us:IE-SearchBox%26prmd%3Dimvns&sa=X&ei=5AENUJCvNsrOrQeNy8HJCA&ved=0CE8Q7gEwAA
Europe,Finland,Sonera [Finland],ADSL,Sonera Broadband,,8,Mbps,8,,,,,EUR,0.00,0,29.90,24,,,?,,0.81,36.91,0.798103672,37.46,2012Q3,The monthly charge will be EUR19.90 in the first three months,http://translate.google.com/translate?hl=en&sl=fi&u=http://www.sonera.fi/&prev=/search%3Fq%3DSonera%2Bfinland%26hl%3Den%26rls%3Dcom.microsoft:en-us:IE-SearchBox%26prmd%3Dimvns&sa=X&ei=5AENUJCvNsrOrQeNy8HJCA&ved=0CE8Q7gEwAA
Europe,France,France Telecom/Orange [France],ADSL,Discovery (Decouverte),Up to,8,Mbps,8,,,,,EUR,,,21.00,12,Yes,,Yes,19.60%,0.81,25.93,0.798103672,26.31,2012Q3,Telephone sub at EUR16 also required,http://abonnez-vous.orange.fr/residentiel/forfaits/decouverte.aspx
Europe,France,SFR [France],ADSL,Up to 25 Mega Internet (Internet Jusqu'à 25 Méga),Up to,25,Mbps,25,,,,,EUR,,,18.90,,Yes,,Yes,19.60%,0.81,23.33,0.798103672,23.68,2012Q3,Charge is 15.9 service + 3 router rental. Telephone sub from Orange also required,http://adsl.sfr.fr/toutes-nos-offres/#sfrintid=V_nav_adsl_adsl
Europe,Germany,Deutsche Telecom [Germany],ADSL,Surfing with DSL,,,,0,,,,,EUR,0.00,,9.99,12,,,Yes,19%,0.81,12.33,0.798103672,12.52,2012Q3,Unlimited usage.,http://translate.google.com/translate?hl=en&sl=de&tl=en&u=http%3A%2F%2Fwww.telekom.de%2Fis-bin%2FINTERSHOP.enfinity%2FWFS%2FEKI-PK-Site%2Fde_DE%2F-%2FEUR%2FViewCategoryTheme-Start%3FKeywordPath%3Dkatalog%252Fsurfen%26vpnr%3DTP7SYSTELELA0013
Europe,Germany,O2 (Alice) [Germany],ADSL,Alice S,Up to,16,Mbps,16,,,,,EUR,,,25.00,24,,0,?,,0.81,30.85,0.798103672,31.31,2012Q3,Includes landline (but zero calls),http://translate.google.com/translate?sl=de&tl=en&js=n&prev=_t&hl=en&ie=UTF-8&layout=2&eotf=1&u=http%3A%2F%2Fdsl.o2online.de%2Fprovider%2Fcontent%2Fsegment%2Fanbieter%2Flanding%2Fhansenet
Europe,Germany,Kabel Deutschland [Germany],Cable,Internet 16,Up to,16000,Kbps,16,1000,Kbps,,,EUR,39.90,0,19.90,24,,,Yes,19%,0.81,24.57,0.798103672,24.93,2012Q3,"Cable modem is free. If the customer prefers to have a wireless cable modem, they have to pay EUR2.",http://translate.googleusercontent.com/translate_c?hl=en&ie=UTF8&prev=_t&rurl=translate.google.com&sl=de&tl=en&u=http://www.kabeldeutschland.de/internet-telefon/internetanschluss-16.html&usg=ALkJrhjiVfI_mJu_IH05yUhQ54cjk9Zx_g
Europe,Germany,Vodafone (Arcor) [Germany],ADSL,DSL internet flat package,Up to,6000,Kbps,6,576,Kbps,,,EUR,,39.9,24.90,,,,Yes,19%,0.81,30.80,0.798103672,31.26,2012Q3,,http://translate.googleusercontent.com/translate_c?hl=en&rurl=translate.google.com&sl=de&tl=en&u=http://dslshop.vodafone.de/eshop/consumer/97441520/0/1/pk-uebersicht-paketvergleich.html&usg=ALkJrhhdvy3lPLxDRccCIP-xwox1nvUVVg
Europe,Germany,Vodafone (Arcor) [Germany],ADSL,DSL classic package,Up to,16000,Kbps,16,800,Kbps,,,EUR,,24.9,24.90,,,,Yes,19%,0.81,30.74,0.798103672,31.20,2012Q3,,http://translate.googleusercontent.com/translate_c?hl=en&rurl=translate.google.com&sl=de&tl=en&u=http://dslshop.vodafone.de/eshop/consumer/97441520/0/1/pk-uebersicht-paketvergleich.html&usg=ALkJrhhdvy3lPLxDRccCIP-xwox1nvUVVg
Africa,Ghana,ClickMAX,Wireless,Basic,,128,Kbps,0.128,64,Kbps,,,USD,300.00,,85.32,,,10,?,,1,85.32,1,85.32,2012Q3,Voice minutes are international VoIP,http://www.clickmax.com.gh/pricing.html
Africa,Ghana,ClickMAX,Wireless,Standard,,256,Kbps,0.256,128,Kbps,,,USD,300.00,,146.28,,,20,?,,1,146.28,1,146.28,2012Q3,Voice minutes are international VoIP,http://www.clickmax.com.gh/pricing.html
Africa,Ghana,ClickMAX,Wireless,Classic,,512,Kbps,0.512,256,Kbps,,,USD,300.00,,219.42,,,30,?,,1,219.42,1,219.42,2012Q3,Voice minutes are international VoIP,http://www.clickmax.com.gh/pricing.html
